P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
204,government+policy,2014-03-07,US Fed cuts $10bn more from stimulus programme,"
"
205,government+policy,2014-03-07,Emerging markets slump despite Turkey and South Africa rate hikes ," Flagship policy linking interest rates to unemployment will be set aside   
            "
206,Economic growth,2014-03-07,Six core beliefs that are too often passed off as fact," The realities behind the myths   
            "
207,Economic growth,2014-03-07,ECB  keeps interest rates unchanged,"   Central bank expects consumer price rises to accelerate slowly but still to miss target 
            "
208,Exchange rates,2014-03-07,ECB  keeps interest rates unchanged,"   Central bank expects consumer price rises to accelerate slowly but still to miss target 
            "
209,Interest rates,2014-03-07,ECB  keeps interest rates unchanged,"   Central bank expects consumer price rises to accelerate slowly but still to miss target 
            "
210,Inflation rates,2014-03-07,ECB  keeps interest rates unchanged,"   Central bank expects consumer price rises to accelerate slowly but still to miss target 
            "
211,corruption,2014-03-09,Ireland grows diplomatic footprint as Brexit looms," But ‘strong growth’ is still predicted until supply catches up with demand around 2021 ratings agency says
            "
212,government+policy,2014-03-11,Draghi vows to take action if outlook for inflation worsens ," Slower but more sustainable investment growth for China in 2014 as policy-makers focus on  domestic consumption   
            "
213,Economic growth,2014-03-11,UK economic growth recovery picks up ," NIESR’s latest forecasts suggest the economy will grow 2.5 per cent in 2014   
            "
214,Economic growth,2014-03-11,Asia Briefing: China finance chiefs at Congress warn against obsession with growth targets," Flexibile goals in order once labour market stays stable   
            "
215,Interest rates,2014-03-11,UK economic growth recovery picks up ," NIESR’s latest forecasts suggest the economy will grow 2.5 per cent in 2014   
            "
216,government+policy,2014-03-12,Bank of England holds fire ahead of guidance revamp," Citigroup economist Willem Buiter suggests Government should withhold support for euro area bank resolution authority   
            "
217,government+policy,2014-03-13,Asia Briefing: Resilient Thailand struggles on ," Developing countries under pressure to follow suit to prevent investors exiting   
            "
218,Economic growth,2014-03-13,"US retail sales rebound from winter chill, jobless claims fall"," New applications for unemployment benefits hit a fresh three-month low last week   
            "
219,Economic growth,2014-03-13,Irish economy unexpectedly contracts in setback for Government," Decline in net exports linked to the so-called pharma patent cliff pinpointed as main reason    
            "
220,Economic growth,2014-03-13,Survey shows growth in UK house prices  cools in February ," Pent-up demand from potential buyers previously shut out of the market eased last month   
            "
221,Economic growth,2014-03-13,"China’s economy slows markedly, latest figures show"," Growth in investment, retail sales and factory output all hit multi-year lows    
            "
222,Interest rates,2014-03-13,Survey shows growth in UK house prices  cools in February ," Pent-up demand from potential buyers previously shut out of the market eased last month   
            "
223,weather,2014-03-13,"US retail sales rebound from winter chill, jobless claims fall"," New applications for unemployment benefits hit a fresh three-month low last week   
            "
224,weather,2014-03-13,Survey shows growth in UK house prices  cools in February ," Pent-up demand from potential buyers previously shut out of the market eased last month   
            "
225,government+policy,2014-03-14,New Fed chief says US will continue to reduce stimulus," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
226,Interest rates,2014-03-14,Irish mortgage interest rates remain below euro area average," Central Bank figures show  mortgage rates here were  3.01 per cent at the end of January   
            "
227,Interest rates,2014-03-14,Morgan Kelly warns our real economic crisis will begin if ECB credit stops ," Opinion: Bad debts of SMEs threaten employment, while cuts in number of academics jeopardise third level    
            "
228,Economic growth,2014-03-19,Eyeing election: Osborne offers help to savers and factories," In an upbeat annual budget statement, Chancellor  upgrades growth forecasts    
            "
229,Interest rates,2014-03-19,Eyeing election: Osborne offers help to savers and factories," In an upbeat annual budget statement, Chancellor  upgrades growth forecasts    
            "
230,Economic growth,2014-03-20,Austerity – either through tax rises or public spending cuts – is set to continue," Q&A on British budget   
            "
231,government+policy,2014-03-21,Sterling falls as inflation dips below targets," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
232,government+policy,2014-03-21,"Income tax cuts to stimulate jobs on cards, says Noonan"," Euro zone’s higher-yielding bonds have been  resilient to  pull-back in riskier assets   
            "
233,foreign+trade+policy,2014-03-21,China and US poised for fresh trade talks," Solar panels and washing machines hit by new import duties
            "
234,Economic growth,2014-03-21,"S&P affirms Greece’s credit rating, citing rebalancing economy"," Positive comments are boost for government, which hopes to return to markets earlier than planned   
            "
235,Economic growth,2014-03-21,Europe seems determined to replicate Japanese slump ," Economics: Normalisation of US and British economies  points to serious ECB policy errors    
            "
